         t         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
    0.0000    0.0618    0.1605    0.2423    0.6438    0.0533    0.0229  894.9476  822.4151    1.3284
    1.0000    0.0603    0.1605    0.2252    0.6357    0.0533    0.0229  895.7551  823.1572    1.3284
    2.0000    0.0600    0.1605    0.2252    0.6355    0.0534    0.0229  896.5008  823.8424    1.3284
    3.0000    0.0598    0.1605    0.2251    0.6353    0.0534    0.0229  897.1900  824.4758    1.3284
    4.0000    0.0595    0.1605    0.2251    0.6354    0.0534    0.0229  897.8260  825.0602    1.3284
    5.0000    0.0592    0.1605    0.2251    0.6354    0.0534    0.0230  898.4119  825.5986    1.3284
    6.0000    0.0590    0.1605    0.2250    0.6356    0.0535    0.0230  898.9536  826.0964    1.3284
    7.0000    0.0588    0.1605    0.2250    0.6361    0.0535    0.0230  899.4593  826.5611    1.3284
    8.0000    0.0587    0.1605    0.2249    0.6362    0.0535    0.0230  899.9363  826.9995    1.3284
    9.0000    0.0585    0.1605    0.2249    0.6361    0.0535    0.0230  900.3892  827.4156    1.3284
   10.0000    0.0584    0.1605    0.2249    0.6362    0.0536    0.0230  900.8222  827.8135    1.3284
   11.0000    0.0582    0.1605    0.2248    0.6361    0.0536    0.0230  901.2365  828.1943    1.3284
   12.0000    0.0581    0.1605    0.2248    0.6364    0.0536    0.0230  901.6346  828.5602    1.3284
   13.0000    0.0580    0.1605    0.2248    0.6360    0.0536    0.0230  902.0179  828.9124    1.3284
   14.0000    0.0579    0.1605    0.2247    0.6364    0.0536    0.0230  902.3885  829.2529    1.3284
   15.0000    0.0578    0.1605    0.2247    0.6367    0.0536    0.0230  902.7452  829.5807    1.3284
   16.0000    0.0577    0.1605    0.2246    0.6364    0.0536    0.0230  903.0908  829.8983    1.3284
   17.0000    0.0576    0.1605    0.2246    0.6365    0.0537    0.0230  903.4256  830.2060    1.3284
   18.0000    0.0575    0.1605    0.2246    0.6365    0.0537    0.0230  903.7510  830.5050    1.3284
   19.0000    0.0574    0.1605    0.2245    0.6365    0.0537    0.0231  904.0667  830.7952    1.3284
   20.0000    0.0573    0.1605    0.2245    0.6365    0.0537    0.0231  904.3742  831.0777    1.3284
   21.0000    0.0572    0.1605    0.2245    0.6366    0.0537    0.0231  904.6721  831.3515    1.3284
   22.0000    0.0571    0.1605    0.2244    0.6367    0.0537    0.0231  904.9613  831.6172    1.3284
   23.0000    0.0570    0.1605    0.2244    0.6363    0.0537    0.0231  905.2430  831.8761    1.3284
   24.0000    0.0569    0.1605    0.2243    0.6370    0.0537    0.0231  905.5180  832.1288    1.3284
   25.0000    0.0569    0.1605    0.2243    0.6369    0.0537    0.0231  905.7848  832.3740    1.3284
   26.0000    0.0568    0.1605    0.2243    0.6368    0.0537    0.0231  906.0454  832.6135    1.3284
   27.0000    0.0567    0.1605    0.2242    0.6368    0.0537    0.0231  906.2999  832.8473    1.3284
   28.0000    0.0566    0.1605    0.2242    0.6364    0.0537    0.0231  906.5486  833.0759    1.3284
   29.0000    0.0565    0.1605    0.2241    0.6368    0.0537    0.0231  906.7933  833.3007    1.3284
   30.0000    0.0564    0.1605    0.2241    0.6367    0.0537    0.0231  907.0319  833.5200    1.3284
   31.0000    0.0564    0.1605    0.2241    0.6369    0.0537    0.0231  907.2656  833.7348    1.3284
   32.0000    0.0563    0.1605    0.2240    0.6370    0.0537    0.0230  907.4943  833.9449    1.3284
   33.0000    0.0562    0.1605    0.2240    0.6367    0.0537    0.0230  907.7189  834.1513    1.3284
   34.0000    0.0561    0.1605    0.2239    0.6368    0.0537    0.0230  907.9402  834.3546    1.3284
   35.0000    0.0561    0.1605    0.2239    0.6371    0.0536    0.0230  908.1574  834.5542    1.3284
   36.0000    0.0560    0.1605    0.2239    0.6367    0.0536    0.0230  908.3714  834.7510    1.3284
   37.0000    0.0559    0.1605    0.2238    0.6368    0.0536    0.0230  908.5816  834.9441    1.3284
   38.0000    0.0559    0.1605    0.2238    0.6368    0.0536    0.0230  908.7887  835.1344    1.3284
   39.0000    0.0558    0.1605    0.2237    0.6367    0.0536    0.0230  908.9922  835.3214    1.3284
   40.0000    0.0557    0.1605    0.2237    0.6367    0.0536    0.0230  909.1943  835.5072    1.3284
   41.0000    0.0557    0.1605    0.2237    0.6370    0.0536    0.0230  909.3933  835.6900    1.3284
   42.0000    0.0556    0.1605    0.2236    0.6372    0.0536    0.0230  909.5893  835.8701    1.3284
   43.0000    0.0556    0.1605    0.2236    0.6373    0.0535    0.0230  909.7824  836.0476    1.3284
   44.0000    0.0555    0.1605    0.2235    0.6373    0.0535    0.0230  909.9731  836.2228    1.3284
   45.0000    0.0554    0.1605    0.2235    0.6370    0.0535    0.0230  910.1618  836.3962    1.3284
   46.0000    0.0554    0.1605    0.2235    0.6372    0.0535    0.0230  910.3492  836.5684    1.3284
   47.0000    0.0553    0.1605    0.2234    0.6366    0.0535    0.0230  910.5339  836.7382    1.3284
   48.0000    0.0553    0.1605    0.2234    0.6370    0.0534    0.0230  910.7187  836.9080    1.3284
   49.0000    0.0552    0.1605    0.2233    0.6372    0.0534    0.0229  910.9004  837.0750    1.3284
   50.0000    0.0551    0.1605    0.2233    0.6373    0.0534    0.0229  911.0808  837.2407    1.3284
   51.0000    0.0551    0.1605    0.2233    0.6371    0.0534    0.0229  911.2596  837.4050    1.3284
   52.0000    0.0550    0.1605    0.2232    0.6367    0.0534    0.0229  911.4369  837.5680    1.3284
   53.0000    0.0550    0.1605    0.2232    0.6372    0.0533    0.0229  911.6140  837.7308    1.3284
   54.0000    0.0549    0.1605    0.2231    0.6371    0.0533    0.0229  911.7888  837.8914    1.3284
   55.0000    0.0549    0.1605    0.2231    0.6371    0.0533    0.0229  911.9627  838.0512    1.3284
   56.0000    0.0548    0.1605    0.2231    0.6372    0.0533    0.0229  912.1357  838.2101    1.3284
   57.0000    0.0548    0.1605    0.2230    0.6372    0.0532    0.0229  912.3081  838.3686    1.3284
   58.0000    0.0547    0.1605    0.2230    0.6371    0.0532    0.0228  912.4785  838.5252    1.3284
   59.0000    0.0546    0.1605    0.2229    0.6370    0.0532    0.0228  912.6488  838.6817    1.3284
   60.0000    0.0546    0.1605    0.2229    0.6368    0.0531    0.0228  912.8188  838.8378    1.3284
   61.0000    0.0545    0.1605    0.2228    0.6373    0.0531    0.0228  912.9892  838.9944    1.3284
   62.0000    0.0545    0.1605    0.2228    0.6372    0.0531    0.0228  913.1575  839.1491    1.3284
   63.0000    0.0545    0.1605    0.2228    0.6370    0.0530    0.0228  913.3262  839.3042    1.3284
   64.0000    0.0544    0.1605    0.2227    0.6368    0.0530    0.0228  913.4966  839.4607    1.3284
   65.0000    0.0544    0.1605    0.2227    0.6368    0.0530    0.0227  913.6702  839.6203    1.3284
   66.0000    0.0544    0.1605    0.2227    0.6370    0.0529    0.0227  913.8466  839.7824    1.3284
   67.0000    0.0544    0.1604    0.2226    0.6369    0.0529    0.0227  914.0253  839.9466    1.3284
   68.0000    0.0544    0.1604    0.2226    0.6369    0.0529    0.0227  914.2071  840.1137    1.3284
   69.0000    0.0544    0.1604    0.2225    0.6367    0.0528    0.0227  914.3918  840.2834    1.3284
