         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.4648    4.2036    5.2117    0.2612    0.2689
    2.0000    4.4663    4.2036    5.2117    0.2627    0.2702
    3.0000    4.4685    4.2036    5.2117    0.2649    0.2705
    4.0000    4.4648    4.2036    5.2059    0.2612    0.2678
    5.0000    4.4648    4.2036    5.2081    0.2612    0.2673
    6.0000    4.4648    4.2036    5.2102    0.2612    0.2666
    7.0000    4.4648    4.2036    5.2068    0.2612    0.2688
    8.0000    4.4648    4.2036    5.2071    0.2613    0.2673
    9.0000    4.4648    4.2036    5.2106    0.2612    0.2682
   10.0000    4.4648    4.2036    5.2105    0.2612    0.2684
   11.0000    4.4648    4.2036    5.2104    0.2612    0.2674
   12.0000    4.4648    4.2036    5.2091    0.2612    0.2683
   13.0000    4.4648    4.2036    5.2100    0.2612    0.2681
   14.0000    4.4648    4.2036    5.2106    0.2612    0.2692
   15.0000    4.4648    4.2036    5.2101    0.2612    0.2677
   16.0000    4.4648    4.2036    5.2091    0.2612    0.2671
   17.0000    4.4648    4.2036    5.2050    0.2612    0.2675
   18.0000    4.4648    4.2036    5.2042    0.2612    0.2677
   19.0000    4.4648    4.2036    5.2076    0.2612    0.2677
   20.0000    4.4648    4.2036    5.2085    0.2612    0.2684
   21.0000    4.4648    4.2036    5.2114    0.2612    0.2675
   22.0000    4.4648    4.2036    5.2091    0.2612    0.2675
   23.0000    4.4648    4.2036    5.2109    0.2612    0.2692
   24.0000    4.4648    4.2036    5.2110    0.2612    0.2686
   25.0000    4.4648    4.2036    5.2114    0.2612    0.2663
   26.0000    4.4648    4.2036    5.2113    0.2612    0.2691
   27.0000    4.4648    4.2036    5.2095    0.2612    0.2677
   28.0000    4.4648    4.2036    5.2097    0.2612    0.2687
   29.0000    4.4648    4.2036    5.2094    0.2612    0.2686
   30.0000    4.4648    4.2036    5.2100    0.2612    0.2685
   31.0000    4.4648    4.2036    5.2099    0.2612    0.2675
   32.0000    4.4648    4.2036    5.2106    0.2612    0.2676
   33.0000    4.4648    4.2036    5.2105    0.2612    0.2679
   34.0000    4.4648    4.2036    5.2066    0.2613    0.2681
   35.0000    4.4649    4.2036    5.2114    0.2613    0.2686
   36.0000    4.4652    4.2038    5.2110    0.2614    0.2679
   37.0000    4.4660    4.2044    5.2114    0.2617    0.2679
   38.0000    4.4684    4.2059    5.2118    0.2625    0.2677
   39.0000    4.4755    4.2103    5.2120    0.2651    0.2680
   40.0000    4.4968    4.2243    5.2120    0.2725    0.2675
   41.0000    4.5344    4.2602    5.2119    0.2742    0.2679
   42.0000    4.5754    4.3013    5.2119    0.2741    0.2680
   43.0000    4.6280    4.3546    5.2115    0.2734    0.2668
   44.0000    4.6801    4.4059    5.2106    0.2742    0.2681
   45.0000    4.7430    4.4688    5.2120    0.2743    0.2671
   46.0000    4.8060    4.5318    5.2119    0.2742    0.2680
   47.0000    4.8715    4.5973    5.2116    0.2742    0.2676
   48.0000    4.9411    4.6669    5.2109    0.2742    0.2675
   49.0000    5.0108    4.7365    5.2118    0.2742    0.2681
