    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         1         3         1    0.0230    5.3593    5.0868    5.0868    0.2725    0.2725    0.2052    1.8425    0.0028    0.0253
         2         3         1    0.0231    5.3613    5.0887    5.0887    0.2725    0.2725    0.2060    1.8501    0.0028    0.0253
         3         3         1    0.0232    5.3633    5.0907    5.0907    0.2726    0.2726    0.2069    1.8578    0.0028    0.0253
         4         3         1    0.0233    5.3654    5.0928    5.0928    0.2726    0.2726    0.2077    1.8658    0.0028    0.0253
         5         3         1    0.0234    5.3675    5.0949    5.0949    0.2726    0.2726    0.2087    1.8741    0.0028    0.0253
         6         3         1    0.0235    5.3697    5.0971    5.0971    0.2727    0.2727    0.2096    1.8826    0.0028    0.0254
         7         3         1    0.0237    5.3720    5.0993    5.0993    0.2727    0.2727    0.2106    1.8915    0.0028    0.0254
         8         3         1    0.0238    5.3743    5.1016    5.1016    0.2727    0.2727    0.2116    1.9006    0.0028    0.0254
         9         3         1    0.0239    5.3767    5.1040    5.1040    0.2728    0.2728    0.2127    1.9101    0.0028    0.0254
        10         3         1    0.0241    5.3792    5.1064    5.1064    0.2728    0.2728    0.2138    1.9199    0.0028    0.0255
        11         3         1    0.0242    5.3818    5.1090    5.1090    0.2728    0.2728    0.2149    1.9300    0.0028    0.0255
        12         3         1    0.0243    5.3844    5.1116    5.1116    0.2729    0.2729    0.2161    1.9406    0.0028    0.0255
        13         3         1    0.0245    5.3872    5.1143    5.1143    0.2729    0.2729    0.2173    1.9515    0.0028    0.0255
        14         3         1    0.0246    5.3900    5.1170    5.1170    0.2729    0.2729    0.2186    1.9629    0.0028    0.0256
        15         3         1    0.0248    5.3929    5.1199    5.1199    0.2730    0.2730    0.2199    1.9747    0.0029    0.0256
        16         3         1    0.0250    5.3959    5.1229    5.1229    0.2730    0.2730    0.2212    1.9871    0.0029    0.0256
        17         3         1    0.0251    5.3990    5.1259    5.1259    0.2731    0.2731    0.2227    1.9999    0.0029    0.0257
        18         3         1    0.0253    5.4022    5.1291    5.1291    0.2731    0.2731    0.2242    2.0133    0.0029    0.0257
        19         3         1    0.0255    5.4056    5.1324    5.1324    0.2732    0.2732    0.2257    2.0273    0.0029    0.0257
        20         3         1    0.0257    5.4090    5.1358    5.1358    0.2732    0.2732    0.2274    2.0420    0.0029    0.0258
        21         3         1    0.0259    5.4127    5.1394    5.1394    0.2732    0.2732    0.2291    2.0573    0.0029    0.0258
        22         3         1    0.0262    5.4164    5.1431    5.1431    0.2733    0.2733    0.2309    2.0734    0.0029    0.0258
        23         3         1    0.0264    5.4203    5.1469    5.1469    0.2734    0.2734    0.2327    2.0903    0.0029    0.0259
        24         3         1    0.0266    5.4244    5.1510    5.1510    0.2734    0.2734    0.2347    2.1080    0.0029    0.0259
        25         3         1    0.0269    5.4286    5.1551    5.1551    0.2735    0.2735    0.2368    2.1267    0.0029    0.0260
        26         3         1    0.0272    5.4330    5.1595    5.1595    0.2735    0.2735    0.2390    2.1465    0.0029    0.0260
        27         3         1    0.0275    5.4377    5.1641    5.1641    0.2736    0.2736    0.2413    2.1674    0.0029    0.0260
        28         3         1    0.0278    5.4425    5.1688    5.1688    0.2737    0.2737    0.2438    2.1895    0.0029    0.0261
        29         3         1    0.0281    5.4476    5.1739    5.1739    0.2737    0.2737    0.2464    2.2130    0.0029    0.0261
        30         3         1    0.0284    5.4529    5.1791    5.1791    0.2738    0.2738    0.2492    2.2381    0.0029    0.0262
        31         3         1    0.0288    5.4586    5.1847    5.1847    0.2739    0.2739    0.2522    2.2648    0.0029    0.0262
        32         3         1    0.0232    5.4940    5.2197    5.2197    0.2744    0.2744    0.2015    1.8093    0.0030    0.0266
        33         3         1    0.0233    5.6309    5.3546    5.3546    0.2763    0.2763    0.1979    1.7772    0.0031    0.0280
        34         3         1    0.0235    5.7700    5.4917    5.4917    0.2783    0.2783    0.1944    1.7464    0.0033    0.0295
        35         3         1    0.0237    5.9112    5.6309    5.6309    0.2804    0.2804    0.1911    1.7166    0.0034    0.0310
        36         3         1    0.0239    6.0548    5.7723    5.7723    0.2826    0.2826    0.1879    1.6878    0.0036    0.0325
        37         3         1    0.0241    6.2007    5.9158    5.9158    0.2848    0.2848    0.1848    1.6600    0.0038    0.0342
        38         3         1    0.0243    6.3488    6.0616    6.0616    0.2872    0.2872    0.1818    1.6330    0.0040    0.0359
        39         3         1    0.0245    6.4992    6.2095    6.2095    0.2897    0.2897    0.1789    1.6069    0.0042    0.0377
        40         3         1    0.0247    6.6517    6.3595    6.3595    0.2923    0.2923    0.1761    1.5817    0.0044    0.0395
        41         3         1    0.0249    6.8064    6.5114    6.5114    0.2950    0.2950    0.1734    1.5572    0.0046    0.0414
        42         3         1    0.0251    6.9630    6.6652    6.6652    0.2978    0.2978    0.1707    1.5334    0.0048    0.0434
        43         3         1    0.0253    7.1215    6.8207    6.8207    0.3008    0.3008    0.1682    1.5105    0.0051    0.0454
        44         3         1    0.0255    7.2815    6.9776    6.9776    0.3039    0.3039    0.1657    1.4883    0.0053    0.0475
        45         3         1    0.0257    7.4428    7.1357    7.1357    0.3071    0.3071    0.1633    1.4668    0.0055    0.0497
        46         3         1    0.0259    7.6052    7.2947    7.2947    0.3105    0.3105    0.1610    1.4460    0.0058    0.0520
        47         3         1    0.0261    7.7681    7.4541    7.4541    0.3140    0.3140    0.1588    1.4260    0.0060    0.0543
        48         3         1    0.0263    7.9313    7.6136    7.6136    0.3176    0.3176    0.1566    1.4067    0.0063    0.0566
        49         3         1    0.0265    8.0941    7.7726    7.7726    0.3214    0.3214    0.1546    1.3882    0.0066    0.0590
        50         3         1    0.0267    8.2560    7.9306    7.9306    0.3254    0.3254    0.1526    1.3704    0.0068    0.0614
        51         3         1    0.0269    8.4164    8.0870    8.0870    0.3294    0.3294    0.1507    1.3534    0.0071    0.0639
        52         3         1    0.0270    8.5747    8.2411    8.2411    0.3336    0.3336    0.1489    1.3373    0.0074    0.0663
        53         3         1    0.0272    8.7302    8.3924    8.3924    0.3378    0.3378    0.1472    1.3219    0.0077    0.0688
        54         3         1    0.0274    8.8823    8.5401    8.5401    0.3422    0.3422    0.1456    1.3073    0.0079    0.0712
        55         3         1    0.0276    9.0304    8.6837    8.6837    0.3466    0.3466    0.1440    1.2936    0.0082    0.0736
        56         3         1    0.0277    9.1737    8.8226    8.8226    0.3511    0.3511    0.1426    1.2806    0.0085    0.0760
        57         3         1    0.0279    9.3119    8.9563    8.9563    0.3556    0.3556    0.1412    1.2685    0.0087    0.0783
        58         3         1    0.0280    9.4444    9.0844    9.0844    0.3600    0.3600    0.1400    1.2572    0.0090    0.0806
        59         3         1    0.0282    9.5711    9.2066    9.2066    0.3645    0.3645    0.1388    1.2466    0.0092    0.0828
        60         3         1    0.0283    9.6915    9.3226    9.3226    0.3689    0.3689    0.1377    1.2368    0.0094    0.0849
        61         3         1    0.0284    9.8057    9.4324    9.4324    0.3732    0.3732    0.1367    1.2277    0.0097    0.0869
