    number     tau_k     tau_N     tau_I    tau_hH    tau_hL
         1    0.0000    0.0000    0.0000    0.0000    0.0000
         2    0.0000    0.0000    0.0100    0.0000    0.0000
         3    0.0000    0.0000    0.0200    0.0000    0.0000
         4    0.0000    0.0000    0.0300    0.0000    0.0000
         5    0.0000    0.0000    0.0400    0.0000    0.0000
         6    0.0000    0.0000    0.0500    0.0000    0.0000
         7    0.0000    0.0000    0.0600    0.0000    0.0000
         8    0.0000    0.0000    0.0700    0.0000    0.0000
         9    0.0000    0.0000    0.0800    0.0000    0.0000
        10    0.0000    0.0000    0.0900    0.0000    0.0000
        11    0.0000    0.0000    0.1000    0.0000    0.0000
        12    0.0000    0.0000    0.1100    0.0000    0.0000
        13    0.0000    0.0000    0.1200    0.0000    0.0000
        14    0.0000    0.0000    0.1300    0.0000    0.0000
        15    0.0000    0.0000    0.1400    0.0000    0.0000
        16    0.0000    0.0000    0.1500    0.0000    0.0000
        17    0.0000    0.0000    0.1600    0.0000    0.0000
        18    0.0000    0.0000    0.1700    0.0000    0.0000
        19    0.0000    0.0000    0.1800    0.0000    0.0000
        20    0.0000    0.0000    0.1900    0.0000    0.0000
        21    0.0000    0.0000    0.2000    0.0000    0.0000
        22    0.0000    0.0000    0.2100    0.0000    0.0000
        23    0.0000    0.0000    0.2200    0.0000    0.0000
        24    0.0000    0.0000    0.2300    0.0000    0.0000
        25    0.0000    0.0000    0.2400    0.0000    0.0000
        26    0.0000    0.0000    0.2500    0.0000    0.0000
        27    0.0000    0.0000    0.2600    0.0000    0.0000
        28    0.0000    0.0000    0.2700    0.0000    0.0000
        29    0.0000    0.0000    0.2800    0.0000    0.0000
        30    0.0000    0.0000    0.2900    0.0000    0.0000
        31    0.0000    0.0000    0.3000    0.0000    0.0000
        32    0.0000    0.0000    0.0000    0.0100    0.0000
        33    0.0000    0.0000    0.0000    0.0200    0.0000
        34    0.0000    0.0000    0.0000    0.0300    0.0000
        35    0.0000    0.0000    0.0000    0.0400    0.0000
        36    0.0000    0.0000    0.0000    0.0500    0.0000
        37    0.0000    0.0000    0.0000    0.0600    0.0000
        38    0.0000    0.0000    0.0000    0.0700    0.0000
        39    0.0000    0.0000    0.0000    0.0800    0.0000
        40    0.0000    0.0000    0.0000    0.0900    0.0000
        41    0.0000    0.0000    0.0000    0.1000    0.0000
        42    0.0000    0.0000    0.0000    0.1100    0.0000
        43    0.0000    0.0000    0.0000    0.1200    0.0000
        44    0.0000    0.0000    0.0000    0.1300    0.0000
        45    0.0000    0.0000    0.0000    0.1400    0.0000
        46    0.0000    0.0000    0.0000    0.1500    0.0000
        47    0.0000    0.0000    0.0000    0.1600    0.0000
        48    0.0000    0.0000    0.0000    0.1700    0.0000
        49    0.0000    0.0000    0.0000    0.1800    0.0000
        50    0.0000    0.0000    0.0000    0.1900    0.0000
        51    0.0000    0.0000    0.0000    0.2000    0.0000
        52    0.0000    0.0000    0.0000    0.2100    0.0000
        53    0.0000    0.0000    0.0000    0.2200    0.0000
        54    0.0000    0.0000    0.0000    0.2300    0.0000
        55    0.0000    0.0000    0.0000    0.2400    0.0000
        56    0.0000    0.0000    0.0000    0.2500    0.0000
        57    0.0000    0.0000    0.0000    0.2600    0.0000
        58    0.0000    0.0000    0.0000    0.2700    0.0000
        59    0.0000    0.0000    0.0000    0.2800    0.0000
        60    0.0000    0.0000    0.0000    0.2900    0.0000
        61    0.0000    0.0000    0.0000    0.3000    0.0000
