    number     Model         p     sigma         A      B_NH      B_NL       b_h      mu_N      mu_I      mu_h   alpha_H   alpha_L  lambda_h     shock
         1         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         2         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         3         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         4         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         5         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         6         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         7         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         8         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
         9         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        10         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        11         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        12         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        13         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
        14         3    0.1125    2.0000    0.1190    2.2651    1.0000    1.0000    2.3619    9.0135  193.5608    0.9026    0.2797    0.7675    0.7853
