         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    1.0000    1.0188    0.6933    0.9095   -0.8098   -0.8072    0.0026    0.6619    0.0603    0.0927
    2.0000    1.0377    0.7032    0.9119   -0.8098   -0.8046    0.0052    0.6725    0.0587    0.0897
    3.0000    1.0567    0.7114    0.9139   -0.8098   -0.8020    0.0078    0.6814    0.0573    0.0871
    4.0000    1.0759    0.7183    0.9156   -0.8098   -0.7994    0.0104    0.6888    0.0562    0.0850
    5.0000    1.0952    0.7239    0.9170   -0.8098   -0.7968    0.0131    0.6948    0.0552    0.0832
    6.0000    1.1147    0.7283    0.9181   -0.8098   -0.7942    0.0157    0.6996    0.0544    0.0818
    7.0000    1.1345    0.7329    0.9192   -0.8098   -0.7916    0.0183    0.7046    0.0536    0.0804
    8.0000    1.1547    0.7377    0.9204   -0.8098   -0.7889    0.0209    0.7098    0.0528    0.0789
    9.0000    1.1753    0.7428    0.9217   -0.8098   -0.7863    0.0235    0.7153    0.0519    0.0773
   10.0000    1.1965    0.7471    0.9228   -0.8098   -0.7837    0.0261    0.7199    0.0512    0.0759
   11.0000    1.2183    0.7508    0.9238   -0.8098   -0.7811    0.0287    0.7240    0.0505    0.0747
   12.0000    1.2406    0.7544    0.9247   -0.8098   -0.7785    0.0313    0.7279    0.0499    0.0736
   13.0000    1.2635    0.7581    0.9257   -0.8098   -0.7759    0.0340    0.7319    0.0492    0.0724
   14.0000    1.2868    0.7619    0.9267   -0.8098   -0.7733    0.0366    0.7361    0.0485    0.0712
   15.0000    1.3104    0.7660    0.9277   -0.8098   -0.7707    0.0392    0.7405    0.0478    0.0700
   16.0000    1.3343    0.7699    0.9288   -0.8098   -0.7680    0.0418    0.7449    0.0471    0.0687
   17.0000    1.3584    0.7732    0.9296   -0.8098   -0.7654    0.0444    0.7484    0.0465    0.0677
   18.0000    1.3826    0.7756    0.9303   -0.8098   -0.7628    0.0470    0.7511    0.0460    0.0669
   19.0000    1.4069    0.7773    0.9307   -0.8098   -0.7602    0.0496    0.7528    0.0457    0.0664
   20.0000    1.4312    0.7783    0.9310   -0.8098   -0.7576    0.0522    0.7539    0.0455    0.0661
   21.0000    1.4555    0.7789    0.9311   -0.8098   -0.7550    0.0549    0.7546    0.0454    0.0659
   22.0000    1.4799    0.7792    0.9312   -0.8098   -0.7524    0.0575    0.7550    0.0453    0.0658
   23.0000    1.5042    0.7794    0.9313   -0.8098   -0.7498    0.0601    0.7552    0.0453    0.0657
   24.0000    1.5286    0.7795    0.9313   -0.8098   -0.7472    0.0627    0.7553    0.0453    0.0657
   25.0000    1.5529    0.7795    0.9313   -0.8098   -0.7445    0.0653    0.7553    0.0453    0.0657
   26.0000    1.5773    0.7796    0.9313   -0.8098   -0.7419    0.0679    0.7553    0.0453    0.0657
   27.0000    1.6016    0.7796    0.9313   -0.8098   -0.7393    0.0705    0.7553    0.0453    0.0657
   28.0000    1.6260    0.7796    0.9313   -0.8098   -0.7367    0.0731    0.7554    0.0453    0.0657
   29.0000    1.6504    0.7796    0.9313   -0.8098   -0.7341    0.0758    0.7554    0.0453    0.0657
   30.0000    1.6747    0.7796    0.9313   -0.8098   -0.7315    0.0784    0.7554    0.0453    0.0657
   31.0000    1.6991    0.7796    0.9313   -0.8098   -0.7289    0.0810    0.7554    0.0453    0.0657
   32.0000    1.7234    0.7796    0.9313   -0.8098   -0.7263    0.0836    0.7554    0.0453    0.0657
   33.0000    1.7478    0.7796    0.9313   -0.8098   -0.7236    0.0862    0.7554    0.0453    0.0657
   34.0000    1.7722    0.7796    0.9313   -0.8098   -0.7210    0.0888    0.7554    0.0453    0.0657
   35.0000    1.7965    0.7796    0.9313   -0.8098   -0.7184    0.0914    0.7554    0.0453    0.0657
   36.0000    1.8209    0.7796    0.9313   -0.8098   -0.7158    0.0940    0.7554    0.0453    0.0657
   37.0000    1.8452    0.7796    0.9313   -0.8098   -0.7132    0.0967    0.7554    0.0453    0.0657
   38.0000    1.8696    0.7796    0.9313   -0.8098   -0.7106    0.0993    0.7554    0.0453    0.0657
   39.0000    1.8940    0.7796    0.9313   -0.8098   -0.7080    0.1019    0.7554    0.0453    0.0657
   40.0000    1.9183    0.7796    0.9313   -0.8098   -0.7054    0.1045    0.7554    0.0453    0.0657
   41.0000    1.9427    0.7796    0.9313   -0.8098   -0.7027    0.1071    0.7554    0.0453    0.0657
   42.0000    1.9670    0.7796    0.9313   -0.8098   -0.7001    0.1097    0.7554    0.0453    0.0657
   43.0000    1.9914    0.7796    0.9313   -0.8098   -0.6975    0.1123    0.7554    0.0453    0.0657
   44.0000    2.0158    0.7796    0.9313   -0.8098   -0.6949    0.1149    0.7554    0.0453    0.0657
   45.0000    2.0401    0.7796    0.9313   -0.8098   -0.6923    0.1176    0.7554    0.0453    0.0657
   46.0000    2.0645    0.7796    0.9313   -0.8098   -0.6897    0.1202    0.7554    0.0453    0.0657
   47.0000    2.0888    0.7796    0.9313   -0.8098   -0.6871    0.1228    0.7554    0.0453    0.0657
   48.0000    2.1132    0.7796    0.9313   -0.8098   -0.6845    0.1254    0.7554    0.0453    0.0657
   49.0000    2.1375    0.7796    0.9313   -0.8098   -0.6818    0.1280    0.7554    0.0453    0.0657
   50.0000    2.1619    0.7796    0.9313   -0.8098   -0.6792    0.1306    0.7554    0.0453    0.0657
   51.0000    2.1863    0.7796    0.9313   -0.8098   -0.6766    0.1332    0.7554    0.0453    0.0657
   52.0000    2.2106    0.7796    0.9313   -0.8098   -0.6740    0.1358    0.7554    0.0453    0.0657
   53.0000    2.2350    0.7796    0.9313   -0.8098   -0.6714    0.1385    0.7554    0.0453    0.0657
