    number     Model      flag   I_tilde   S_tilde      h_HL       Eta   Gamma_H   Gamma_L         r       w_H       w_L      w_HL      s_LH      s_LL       s_L
         1         1         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         1         1         1    0.7796    0.9313   -0.8098    0.7554    0.0453    0.0657    0.0641    0.0277    0.0192    1.4454    0.2758    0.3148    0.5906
         1         3         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         1         3         1    0.7623    0.9233   -0.7045    0.7366    0.0509    0.0623    0.0615    0.0295    0.0185    1.5897    0.2840    0.3099    0.5939
         2         1         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         2         1         1    0.7765    0.9305   -0.8098    0.7519    0.0459    0.0666    0.0641    0.0280    0.0194    1.4439    0.2762    0.3161    0.5923
         2         3         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         2         3         1    0.7588    0.9223   -0.7043    0.7327    0.0515    0.0633    0.0615    0.0297    0.0187    1.5881    0.2845    0.3113    0.5958
         3         1         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         3         1         1    0.7796    0.9313   -0.8098    0.7554    0.0453    0.0657    0.0641    0.0277    0.0192    1.4454    0.2758    0.3148    0.5906
         3         3         1    0.6818    0.9068   -0.8098    0.6495    0.0622    0.0963    0.0523    0.0366    0.0262    1.4012    0.2814    0.3360    0.6174
         3         3         1    0.7681    0.9263   -0.7495    0.7428    0.0488    0.0642    0.0624    0.0289    0.0189    1.5254    0.2806    0.3122    0.5928
