    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
         1         1         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3474  903.1096    1.0087
         1         1         1    0.0389    0.0971    0.2292    0.6389    0.0372    0.0178 1138.1949 1057.3010    1.0902
         1         3         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3473  903.1096    1.0087
         1         3         1    0.0375    0.0943    0.2183    0.6272    0.0369    0.0169 1087.1576 1005.3772    1.1859
         2         1         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3474  903.1096    1.0087
         2         1         1    0.0392    0.0973    0.2292    0.6389    0.0375    0.0181 1139.7364 1059.5347    1.0744
         2         3         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3473  903.1096    1.0087
         2         3         1    0.0377    0.0944    0.2183    0.6272    0.0373    0.0172 1088.4844 1007.3850    1.1690
         3         1         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3474  903.1096    1.0087
         3         1         1    0.0389    0.0971    0.2292    0.6389    0.0371    0.0178 1138.0967 1057.3826    1.0867
         3         3         1    0.0497    0.1249    0.2292    0.6389    0.0488    0.0243  968.3473  903.1096    1.0087
         3         3         1    0.0380    0.0952    0.2209    0.6259    0.0369    0.0172 1103.6669 1022.7946    1.1404
