         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    0.5000    0.1959    2.5969    0.0027    0.0665
    1.0000    0.1865    2.5033    0.0026    0.0591
    1.5000    0.1773    2.4171    0.0025    0.0559
    2.0000    0.1733    2.3321    0.0024    0.0526
    2.5000    0.1738    2.2438    0.0024    0.0491
    3.0000    0.1759    2.1516    0.0026    0.0455
    3.5000    0.1796    2.0597    0.0027    0.0416
    4.0000    0.1821    1.9737    0.0029    0.0383
    4.5000    0.1851    1.9001    0.0030    0.0356
    5.0000    0.1875    1.8427    0.0031    0.0333
    5.5000    0.1897    1.8014    0.0032    0.0319
    6.0000    0.1922    1.7741    0.0032    0.0310
    6.5000    0.1926    1.7574    0.0033    0.0304
    7.0000    0.1927    1.7480    0.0033    0.0301
    7.5000    0.1930    1.7432    0.0033    0.0299
    8.0000    0.1937    1.7408    0.0033    0.0298
    8.5000    0.1937    1.7396    0.0033    0.0297
    9.0000    0.1937    1.7391    0.0033    0.0297
    9.5000    0.1936    1.7388    0.0033    0.0297
   10.0000    0.1936    1.7387    0.0033    0.0297
   10.5000    0.1936    1.7387    0.0033    0.0297
   11.0000    0.1936    1.7387    0.0033    0.0297
   11.5000    0.1936    1.7387    0.0033    0.0297
   12.0000    0.1936    1.7387    0.0033    0.0297
   12.5000    0.1936    1.7387    0.0033    0.0297
   13.0000    0.1936    1.7387    0.0033    0.0297
   13.5000    0.1936    1.7387    0.0033    0.0297
   14.0000    0.1936    1.7387    0.0033    0.0297
   14.5000    0.1936    1.7387    0.0033    0.0297
   15.0000    0.1936    1.7387    0.0033    0.0297
   15.5000    0.1936    1.7387    0.0033    0.0297
   16.0000    0.1936    1.7387    0.0033    0.0297
   16.5000    0.1936    1.7387    0.0033    0.0297
   17.0000    0.1936    1.7387    0.0033    0.0297
   17.5000    0.1936    1.7387    0.0033    0.0297
   18.0000    0.1936    1.7387    0.0033    0.0297
   18.5000    0.1936    1.7387    0.0033    0.0297
   19.0000    0.1936    1.7387    0.0033    0.0297
