    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
         1         3         1    0.0536    0.1718    0.1688    0.6052    0.0451    0.0219  259.5923  224.6989    1.1553
         1         3         1    0.0544    0.1720    0.1707    0.6079    0.0458    0.0226  262.1811  227.6860    1.1515
         1         3         1    0.0553    0.1721    0.1725    0.6105    0.0465    0.0234  264.7746  230.6955    1.1477
         1         3         1    0.0561    0.1722    0.1743    0.6129    0.0472    0.0241  267.3746  233.7283    1.1440
         1         3         1    0.0569    0.1722    0.1760    0.6152    0.0479    0.0249  269.9819  236.7853    1.1402
         1         3         1    0.0576    0.1722    0.1776    0.6175    0.0486    0.0256  272.6011  239.8677    1.1365
         1         3         1    0.0584    0.1722    0.1791    0.6196    0.0492    0.0264  275.2311  242.9762    1.1327
         1         3         1    0.0592    0.1720    0.1806    0.6216    0.0499    0.0272  277.8745  246.1118    1.1291
         1         3         1    0.0600    0.1719    0.1820    0.6236    0.0505    0.0280  280.5329  249.2756    1.1254
         1         3         1    0.0608    0.1717    0.1833    0.6254    0.0511    0.0288  283.2081  252.4687    1.1218
         1         3         1    0.0615    0.1715    0.1846    0.6272    0.0517    0.0296  285.9015  255.6922    1.1181
         1         3         1    0.0623    0.1712    0.1858    0.6289    0.0523    0.0304  288.6149  258.9472    1.1146
         1         3         1    0.0630    0.1709    0.1870    0.6305    0.0528    0.0312  291.3498  262.2348    1.1110
         1         3         1    0.0271    0.0598    0.1143    0.6299    0.0342    0.0115  262.1071  210.8469    1.2431
         1         3         1    0.0646    0.1702    0.1892    0.6336    0.0539    0.0329  296.8904  268.9129    1.1040
         1         3         1    0.0267    0.0575    0.1137    0.6290    0.0340    0.0114  261.3340  209.9302    1.2449
         1         3         1    0.0266    0.0546    0.1149    0.6290    0.0347    0.0117  261.6439  210.3918    1.2436
         1         3         1    0.0668    0.1690    0.1921    0.6377    0.0555    0.0354  305.4019  279.2060    1.0938
         1         3         1    0.0257    0.0559    0.1099    0.6279    0.0326    0.0108  266.9717  214.1915    1.2464
         1         3         1    0.0258    0.0485    0.1148    0.6286    0.0349    0.0117  261.8029  210.3388    1.2447
         1         3         1    0.0690    0.1675    0.1947    0.6414    0.0569    0.0380  314.1917  289.8623    1.0839
