    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         1         3         1    0.0219    0.0242    0.0205    0.0205    0.0037    0.0037    1.1838    0.7823    0.0126    0.0083
         1         3         1    0.0221    0.0245    0.0209    0.0209    0.0036    0.0036    1.1738    0.7757    0.0128    0.0085
         1         3         1    0.0223    0.0249    0.0213    0.0213    0.0036    0.0036    1.1640    0.7692    0.0131    0.0087
         1         3         1    0.0226    0.0252    0.0216    0.0216    0.0036    0.0036    1.1545    0.7629    0.0133    0.0088
         1         3         1    0.0228    0.0256    0.0220    0.0220    0.0036    0.0036    1.1452    0.7568    0.0136    0.0090
         1         3         1    0.0230    0.0259    0.0224    0.0224    0.0035    0.0035    1.1362    0.7508    0.0139    0.0092
         1         3         1    0.0232    0.0263    0.0227    0.0227    0.0035    0.0035    1.1274    0.7450    0.0141    0.0093
         1         3         1    0.0233    0.0266    0.0231    0.0231    0.0035    0.0035    1.1188    0.7393    0.0144    0.0095
         1         3         1    0.0235    0.0270    0.0235    0.0235    0.0035    0.0035    1.1104    0.7338    0.0146    0.0097
         1         3         1    0.0237    0.0273    0.0238    0.0238    0.0035    0.0035    1.1021    0.7283    0.0149    0.0098
         1         3         1    0.0239    0.0277    0.0242    0.0242    0.0034    0.0034    1.0941    0.7230    0.0151    0.0100
         1         3         1    0.0241    0.0280    0.0246    0.0246    0.0034    0.0034    1.0862    0.7178    0.0154    0.0102
         1         3         1    0.0243    0.0283    0.0249    0.0249    0.0034    0.0034    1.0785    0.7127    0.0156    0.0103
         1         3         1    0.0658    0.0275    0.0240    0.0240    0.0034    0.0034    0.7106    1.2371    0.0150    0.0099
         1         3         1    0.0247    0.0290    0.0257    0.0257    0.0034    0.0034    1.0635    0.7028    0.0162    0.0107
         1         3         1    0.0667    0.0273    0.0239    0.0239    0.0034    0.0034    1.0831    0.8125    0.0149    0.0099
         1         3         1    0.0673    0.0272    0.0238    0.0238    0.0034    0.0034    1.1051    0.8082    0.0148    0.0098
         1         3         1    0.0252    0.0301    0.0268    0.0268    0.0033    0.0033    1.0421    0.6886    0.0169    0.0112
         1         3         1    0.0730    0.0288    0.0254    0.0254    0.0034    0.0034    1.2193    0.5655    0.0159    0.0105
         1         3         1    0.0703    0.0272    0.0238    0.0238    0.0034    0.0034    1.2730    0.6132    0.0148    0.0098
         1         3         1    0.0257    0.0312    0.0279    0.0279    0.0033    0.0033    1.0217    0.6752    0.0177    0.0117
         1         3         1    0.0758    0.0274    0.0240    0.0240    0.0034    0.0034    1.1742    0.7547    0.0150    0.0099
         1         3         1    0.0261    0.0319    0.0286    0.0286    0.0032    0.0032    1.0087    0.6666    0.0182    0.0120
