    number     Model         p     sigma         A      B_NH      B_NL       b_h      mu_N      mu_I      mu_h   alpha_H   alpha_L  lambda_h     shock
         1         3    0.0623    3.0000    0.1315    1.6550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         2         3    0.0623    2.8000    0.1315    1.8550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         3         3    0.0623    3.2000    0.1315    1.4550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         4         3    0.0623    3.0000    0.1315    1.6550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
         5         3    0.0623    2.8000    0.1315    1.8550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
         6         3    0.0623    3.2000    0.1315    1.4550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
         1         3    0.0623    3.0000    0.1315    1.6550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         2         3    0.0623    2.8000    0.1315    1.8550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         3         3    0.0623    3.2000    0.1315    1.4550    1.0000    1.0000    1.5725    1.0831  165.8654    0.9203    0.2481    0.5309    0.8100
         4         3    0.0623    3.0000    0.1315    1.6550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
         5         3    0.0623    2.8000    0.1315    1.8550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
         6         3    0.0623    3.2000    0.1315    1.4550    1.0000    1.0000    1.5725    0.8000  165.8654    0.9203    0.2481    0.5309    0.8100
